yum_id,brand,street,city,state,zip,latitude,longitude,sales_volume,sales_year,closest_tb
76516,McDonald's-TR,621 BROADWAY,NEWARK,NJ,7104,40.77162341,-74.16183995,3449000,2012,1.865640594
91801,Domino's,524 31ST ST,UNION CITY,NJ,7087,40.77171605,-74.02978305,0,,0.80221027
213262,White Castle,642 BROADWAY,NEWARK,NJ,7104,40.77226225,-74.16186399,1187000,2013,1.825179517
160865,Pizza Joes,400 32ND ST,BEAVER FALLS,PA,15010,40.77266627,-80.32396615,518000,2012,2.633958036
382632,Sonic,2819 KENNEDY BLVD,NORTH BERGEN,NJ,7047,40.77279089,-74.0358087,1332000,2011,0.529597059
80181,McDonald's-TR,2546 CONSTITUTION BLVD,BEAVER FALLS,PA,15010,40.77283548,-80.37352894,2686000,2011,0.047561316
53017,Burger King-TR,3501 BERGENLINE AVE,UNION CITY,NJ,7087,40.77380567,-74.0281714,1471000,2012,0.924011256
209245,Burger King-TR,720 SHENANGO RD,BEAVER FALLS,PA,15010,40.77427218,-80.37487921,1324000,2010,0.08004003
307923,Domino's,551 BLOOMFIELD AVE,NEWARK,NJ,7107,40.77429237,-74.18569357,2661000,2012,2.480901212
362851,Papa John's Pizza,580 32ND ST,UNION CITY,NJ,7087,40.7745784,-74.03104388,546000,2012,0.807755138
130346,Little Caesars,2660 CONSTITUTION BLVD,BEAVER FALLS,PA,15010,40.77503167,-80.37785333,270000,2010,0.224908777
76562,McDonald's-TR,3215 KENNEDY BLVD,UNION CITY,NJ,7087,40.77528695,-74.03176379,4273000,2007,0.799155923
370430,Little Caesars,517 MAIN ST,ORANGE,NJ,7050,40.77551621,-74.23676202,1157000,2013,4.836570773
246197,White Castle,3810 KENNEDY BLVD,UNION CITY,NJ,7087,40.77642616,-74.02917883,1380000,2012,0.955595036
302441,Wendy's,700 CHIPPEWA TOWN CTR,BEAVER FALLS,PA,15010,40.77843632,-80.38311047,1486000,2012,0.586005277
209140,Burger King-TR,255 HELLER PKWY,NEWARK,NJ,7107,40.7788911,-74.17632407,1582000,2012,1.900471439
375724,Little Caesars,4809 PARK AVE,UNION CITY,NJ,7087,40.77921934,-74.01573991,383000,2010,0.72297163
355802,Popeyes,112 EISENHOWER PKWY,LIVINGSTON,NJ,7039,40.77925042,-74.35505984,1382000,2012,2.396340993
358875,Burger King-NT,112 EISENHOWER PKWY,LIVINGSTON,NJ,7039,40.77925042,-74.35505984,1113000,2011,2.396340993
